successfully obtained license
failed to connect to server
Working on case6468_rte: data_file = pglib-opf/pglib_opf_case6468_rte.m[warn | PowerModels]: reversing the orientation of branch 8773 (6102, 6231) to be consistent with other parallel branches
[warn | PowerModels]: no active generators found at bus 2923, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3196, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 981, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 590, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6220, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 341, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6423, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 249, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1704, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2506, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 315, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 125, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 6349, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6408, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 193, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4454, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1713, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4270, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 706, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3228, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4051, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1947, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4157, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3940, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4408, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6188, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 5024, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 3524, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 696, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 6440, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2851, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2944, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1707, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6374, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2007, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5071, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3764, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 787, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3038, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6403, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2622, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1419, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1655, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3563, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 759, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2350, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2422, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6422, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1746, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2092, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3116, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6401, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3284, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6462, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3704, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1449, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 3154, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6028, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 4261, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 6177, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6210, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2656, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 2856, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 3569, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 69, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 3513, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 3523, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1576, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 3039, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 511, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4271, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6123, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3948, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 587, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1819, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 2431, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 4195, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1859, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 159, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 531, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 952, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2705, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 3283, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 6405, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1626, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2201, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6421, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6135, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3999, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6189, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6058, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 831, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 320, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6247, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 2455, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 4516, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1878, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3141, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1955, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 4053, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 5060, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 132, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 865, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4723, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 788, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 227, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6463, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3509, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1966, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6327, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6143, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3687, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6445, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 638, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6226, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 4908, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 3925, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 3620, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6124, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3682, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1350, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 473, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6120, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6100, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3706, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6404, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6262, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4655, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5013, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6453, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 635, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3313, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1700, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6471, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6260, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4602, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 3256, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2919, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1372, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6400, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4920, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4816, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 2106, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1333, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4677, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5068, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 359, updating to bus type from 2 to 1
